start_offset,end_offset,book2,ms2
79479,79494,0487AbuCubaydBakri.MasalikWaMamalik.Shamela0023849-ara1.mARkdown,176
44138,44361,0845Maqrizi.IghathaUmma.Kraken210223142017-ara1,2
33958,34076,0845Maqrizi.IghathaUmma.Kraken210223142017-ara1,3
39207,39300,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2229
30300,30332,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2217
32408,32447,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2220
24445,24574,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2426
39174,39294,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2224
20418,20564,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2781
44100,44120,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2469
21151,21279,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2796
20700,20921,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2794
39300,39485,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2224
30039,30300,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2217
30600,30631,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2218
28409,28495,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,335
30332,30600,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2218
29700,30000,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2216
22214,22365,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2424
39045,39184,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2228
9670,9837,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2610
29108,29176,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2212
21765,21900,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2857
39600,39891,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2225
9837,9900,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2611
21000,21138,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2795
30000,30039,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2216
8815,8938,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,331
30643,30900,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2219
39915,40058,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2231
12684,12846,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2195
20944,20996,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2795
10111,10186,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2612
