ms,start_offset,end_offset,book2,ms2
265,1518,1601,0487AbuCubaydBakri.MasalikWaMamalik.Shamela0023849-ara1.mARkdown,176
148,233,1369,0845Maqrizi.IghathaUmma.Kraken210223142017-ara1,2
114,318,967,0845Maqrizi.IghathaUmma.Kraken210223142017-ara1,3
131,1156,1654,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2229
102,0,173,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2217
109,38,261,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2220
82,744,1410,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2426
131,970,1621,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2224
69,84,833,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2781
148,1,129,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2469
71,786,1416,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2796
70,1,1164,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2794
132,0,988,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2224
101,216,1585,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2217
103,1,186,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2218
95,1109,1583,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,335
102,173,1636,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2218
100,1,1703,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2216
75,64,817,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2424
131,250,1027,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2228
33,356,1210,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2610
98,38,372,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2212
73,819,1511,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2857
133,1,1558,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2225
33,1210,1576,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2611
71,1,723,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2795
101,1,216,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2216
30,604,1278,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,331
103,245,1646,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2219
134,77,787,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2231
43,462,1303,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2195
70,1283,1573,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2795
34,1117,1497,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2612
91,592,1467,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,335
122,775,1243,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2220
34,11,1117,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2611
98,778,1454,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2215
137,1,1658,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2233
83,794,1336,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2413
71,985,1522,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2409
129,25,489,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2228
124,32,522,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2227
132,1189,1585,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2230
132,988,1607,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2225
70,853,1573,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2802
80,1211,1567,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2426
73,40,827,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2856
70,737,966,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2802
99,113,515,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2213
135,739,1294,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2231
98,372,722,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2213
71,227,1071,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2803
35,644,1117,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2635
99,1505,1583,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2216
99,136,1412,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2215
255,148,1109,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2927
133,1,1605,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2230
132,0,1189,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2229
136,2,1585,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2232
134,1,943,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2226
71,720,782,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2795
131,207,697,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2223
154,934,1605,0900IbnCabdMuncimHimyari.RawdMictar.Shamela0001043-ara1.mARkdown,787
155,1,422,0900IbnCabdMuncimHimyari.RawdMictar.Shamela0001043-ara1.mARkdown,787
30,469,1158,0900IbnCabdMuncimHimyari.RawdMictar.Shamela0001043-ara1.mARkdown,615
19,391,691,0930IbnIyas.NuzhatUmam.Masaha004846-ara1,4
18,614,1467,0930IbnIyas.NuzhatUmam.Masaha004846-ara1,3
23,250,556,0930IbnIyas.NuzhatUmam.Masaha004846-ara1,58
24,288,770,0930IbnIyas.NuzhatUmam.Masaha004846-ara1,58
11,1340,1627,0930IbnIyas.NuzhatUmam.Masaha004846-ara1,58
212,1,361,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,354
78,39,549,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,2159
198,1510,1634,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,354
138,8,183,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,347
277,5,640,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,608
132,1,1553,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,345
40,396,1467,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,2153
143,251,1249,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,353
43,165,342,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,327
199,1,347,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,354
169,1,1035,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,353
211,494,1232,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,354
133,804,1606,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,346
